Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.908,1.959,1.984,1.971,1.928,1.926,1.92,1.814,1.752,1.741,1.74,1.657,1.581,..
Australia,AUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,17.0638,17.1,16.1404,15.1808,14.2212,13.2616,12.302,11.9498,11.8324,11.715,11.3258,10.9366,10.5474,..
Australia,AUS,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,65.2,..,..,62,..,..,67.8,..,66.9,..,..,..,..,..
Australia,AUS,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,99.3,99.2,99.1,99.1,99.1,99.1,99.2,99.7,97,96.7,..,..,..,..
Australia,AUS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,5.6,5.4,5.2,5,4.8,4.5,4.3,3.9,3.8,3.8,3.7,3.7,3.7,..
Australia,AUS,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,0.2,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94,94,94,94,94,94,94,95,95,95,95,95,95,..
Australia,AUS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,157.167663574219,153.013198852539,150.311477661133,132.772888183594,140.646041870117,134.45051574707,..
Australia,AUS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..,..,..,..,..,..,..,0.925260007381439,0.925170004367828,0.937539994716644,0.968850016593933,0.964070022106171,0.979290008544922,..
Australia,AUS,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,..
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,1304533,1302265,1299997,1297729,1295461,1302557.8,1309654.6,1330945,1340372,1340174,1340051,1340051,1340051,..
Australia,AUS,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,67.7538984428057,..,..,..,..,81.5575800947836,..,..,89.1253392722453,..,..,..,..
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5709.34466781654,5868.34709712113,5964.66577565273,5862.55194383105,5793.11602573559,5745.23218954465,5575.28709327857,5483.81640154023,..,..,..,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,18.1414534921115,18.521097005896,18.3037480206975,18.2230995516682,17.5900692657153,17.2954158367427,17.0220422280855,15.863288004258,15.914657116179,15.818316324949,15.4935292521053,15.2382671504147,..,..
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10490.48454191,10972.8917398068,10749.1105547503,10791.5930978208,10726.9281831902,10627.2938650379,10407.7403070759,..,..,..,..,..,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,747556154537.287,853955405511.502,1055127126230.98,928042998085.702,1147589183475.73,1397907916789.9,1546508558465.66,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51,1542659899992.54
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.72689344585038,3.7684875158189,3.57701487814776,1.8668320701176,2.17233709101625,2.46974629381731,3.91736246328504,2.17220475337416,2.74164306864724,2.29592694694063,2.87097248021668,2.11314942462376,-0.00383655856659004,1.47516288330458
Australia,AUS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.12048467467758,4.9824303154294,4.6145835235411,4.9883384540998,1.16538343870303,6.20678072165643,1.78912996440673,-0.61654239981722,-0.597558624754228,3.74509003702453,1.83015529797454,3.41878591584748,1.78365535795395,2.83186747638287
Australia,AUS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,2.73357531178764,2.2080882021692,2.34375861738351,2.3021607847244,2.20622661871056,2.29247802028073,2.26809636459164,2.37609867379823,2.40423129264832,2.70247380513086,2.45780397255264,2.11686400565607,2.00609228488954,2.26762328193865
Australia,AUS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.6440072273035,25.6978365939341,25.6273455192151,27.065264647734,25.2005974557473,26.5319508173366,26.3911817810861,23.6953758824352,22.3275125713017,23.4671582218979,24.1399368185503,25.3279677406758,25.4620958711998,25.4955708970929
Australia,AUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,19.8763866687499,20.2083695341382,20.1668622414997,23.0281133674159,19.816894857306,21.4450545807949,21.5046766110772,20.0692825992002,19.2698631393026,21.2253185048263,21.8697129487245,24.1697272878614,23.9838535266898,22.1821858626712
Australia,AUS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,21.730887107436,21.8514033960262,22.7181592717319,22.7474239726832,20.7394819696391,20.4123991993782,21.6727652413249,21.5563387787263,21.5478988311826,20.714437559185,21.5125131175846,21.6753124505454,20.0556726199551,17.8347951872512
Australia,AUS,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,27.5379693841168,27.5361479401627,28.6285070894816,27.3856218483928,26.8112104312212,26.4726376650507,27.7300900651018,26.2831542742238,25.4134534644674,24.1007574543259,24.5555214314473,23.2871996497841,22.2689470161031,22.6819899274798
Australia,AUS,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,26.9711829301027,26.4236914615747,26.6143832774609,24.4972502276932,23.3246447425583,22.7182068103629,23.4493973879254,24.5232431846339,24.8656608016678,24.8182530236217,25.8308165296216,26.0911876717425,25.292775987876,..
Australia,AUS,Start-up procedures to register a business (number),IC.REG.PROC,3,3,3,3,3,3,3,3,3,3,3,3,..,..
Australia,AUS,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,146.592059118061,152.035461292307,64.8141387894045,135.975309614207,126.743140397572,85.7128996558991,89.677742318863,87.8973290871097,105.122164797853,113.684699065659,88.3986089840397,106.871354368553,129.575938469538,..
Australia,AUS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.82233092604478,1.81534224491167,1.79854717158338,1.92690895601887,1.85679136240993,1.7570782279711,1.671015795455,1.95102786259565,2.08368922475255,1.99757726645313,1.89062224595723,1.87974326651011,2.06304277734412,..
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,96.26672665,101.6430022,103.6926101,102.0649721,101.558682,105.5506209,106.2611564,107.6778349,109.4312952,108.4417819,111.012255,109.2520084,107.6593133,..
Australia,AUS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,14.5306590824063,15.3440415145504,16.664277883134,16.5069599935653,17.9435495457217,17.280311836908,19.6853148062394,20.6098142987135,17.7019817955443,18.1769206501674,21.3110314867884,21.4872210101152,..
Australia,AUS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,35.1398351020997,35.9145217678313,36.7282757087573,34.4598257472621,36.0994165826207,36.8718135013943,33.4699085347152,29.3354298927986,32.2184302883919,34.6610096264794,34.474890116151,35.3869112868585,34.8421748164692,39.2087069873876
Australia,AUS,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,145.3567283,152.3644109,174.4629064,162.8983843,178.7263134,200.2885825,181.8145129,148.1965091,147.9984555,172.4928872,175.7199208,192.9905599,194.4375285,..
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Net migration,SM.POP.NETM,..,1210802,..,..,..,..,989375,..,..,791229,..,..,..,..
Australia,AUS,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,2051227219.45335,2980870874.07376,3366427026.74913,3224401181.6775,4655461396.62226,6597638171.47406,7084418881.54625,6037610106.7282,6179374297.70856,6793253706.78176,7267729293.55882,7439097688.91598,4358562385.29267,..
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,30551100656.5983,44440090037.7723,45160024270.9395,28683266147.8801,35210733743.0829,65554890649.5348,57550426822.6138,46892808567.8516,42969505135.1666,48198614234.959,61324623202.6662,39101199005.419,18403664830.6365,..
Australia,AUS,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,100830,101226,101362,101452,101665,102050,102565,104339,104865,105361,105846,106310,106766,107195
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.798578360971686,0.391971044676888,0.13426266158903,0.08875127546184,0.20973141399036,0.377979489354876,0.503385467824644,0.541048337127457,0.502859513587608,0.471874002595904,0.459265888430662,0.437414675818993,0.428016948088116,0.401008197649972
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,180,180,180,180,180,180,180,180,180,180,180,..,..,..
Aruba,ABW,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2378000040.1135,2263615050.40365,2702705728.55033,2472945136.36337,2347342698.03686,2369788761.76153,2495641304.72143,2729743402.22972,2795030898.32804,2922786567.03109,2998611034.52872,3074700185.78786,2463004048.54561,..
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,23580,22360,26660,24380,23090,23220,24330,26160,26650,27740,28330,28920,23070,..
Aruba,ABW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3419200803.02178,3239139062.18564,3764635341.71171,3367968711.20685,3238413846.00559,3286105273.53604,3394441793.94871,3729452520.89374,3762901964.55722,3871873899.09944,3964030720.63906,4038654380.51038,3238454721.57425,..
Aruba,ABW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,33910,32000,37140,33200,31850,32200,33100,35740,35880,36750,37450,37990,30330,..
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.725,75.868,76.01,76.152,76.293,76.434,..
Aruba,ABW,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.765,1.76,1.759,1.761,1.768,1.779,1.795,1.854,1.872,1.886,1.896,1.901,1.901,..
Aruba,ABW,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,35.3134,33.862,32.792,31.722,30.652,29.582,28.512,25.0092,23.8416,22.674,21.1736,19.6732,18.1728,..
Aruba,ABW,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,93.1861190795898,95.5882415771484,95.1330337524414,96.2425765991211,94.7861022949219,..,..,..,..,..,..,..,..,..
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,97.3563690185547,102.559753417969,94.6491317749023,96.7360229492188,95.8235397338867,97.0278778076172,111.159767150879,..,..,..,..,..,..,..
Aruba,ABW,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.967980027198792,0.986760020256042,1.00560998916626,1.00443994998932,1.01460003852844,1.00871002674103,1.02155995368958,..,..,..,..,..,..,..
Aruba,ABW,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Forest area (sq. km),AG.LND.FRST.K2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,..
Aruba,ABW,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2469832402.23464,2677653631.28492,2843016759.77654,2553631284.9162,2453631284.9162,2637988826.81564,2615083798.88268,2963128491.62011,2983798882.68156,3092178770.94972,3202234636.87151,3310055865.92179,2496648044.69274,..
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.13890583689242,3.09672230042229,1.83343085625123,-11.6835855200153,-2.73259596616786,3.36677814938685,-1.03537532355479,3.54362965997541,2.11671612265083,5.48237117396357,1.26721763085401,-2.08560029017048,-22.3189479533247,..
Aruba,ABW,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.48522647295395,5.15793661182397,4.26406334686595,1.70383781144128,-1.21664207022754,4.01181416993168,0.168847373421684,2.53159203921001,-1.38971311410744,-1.75393532953404,2.26327072846355,5.56880541962809,-2.90275639903498,..
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,0.386541506446505,0.395764656791154,0.367636077814895,0.430956027127543,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.2141596923773,18.5365950344252,17.4113381803891,15.8286151826734,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,64.6007690567745,65.0532025871062,65.5335036352918,62.9183985998687,60.2231329690346,69.7373994070309,73.1040375988037,72.8506787330317,71.8217562254259,72.5564588979223,73.7962316817865,74.5822784810127,56.5450883866637,..
Aruba,ABW,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,76.4532911106085,74.9008971416649,73.5900962861073,74.6444979216802,75.2504553734062,84.6886912325286,83.5505233924375,72.9826546003017,70.4175248080884,71.2556458897922,74.6336357292394,74.6497890295359,72.7232042962631,..
Aruba,ABW,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,34.517077584257,31.754642186522,32.1084692473963,29.6434040691315,28.2786885245902,27.424819991529,23.520615253151,21.5309200603318,20.5766710353866,20.5600722673893,21.5806001395673,21.4514767932489,22.4658760349071,..
Aruba,ABW,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Start-up procedures to register a business (number),IC.REG.PROC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Market capitalization of listed domestic companies (% of GDP),CM.MKT.LCAP.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,108.1282107,112.2147359,119.1874346,126.1643093,129.636369,..,131.6302652,135.13384,..,..,..,132.6259947,132.0645149,..
Aruba,ABW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,4.01259892391419,4.13079661839726,4.79098828956432,11.2591812170153,4.96898579074605,4.04239497515666,6.64041582516023,8.51673658555146,4.95280280127981,6.75665142917031,..
Aruba,ABW,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,382.164668627008,385.881493845191,403.348398506583,172.321155108292,67.6092896174865,420.656520118594,131.335179448836,53.582185331825,50.5445259314735,..,..,..,..,..
Aruba,ABW,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,115.1423287,114.5852142,122.9837069,88.16896596,94.51971229,103.0980757,104.5878594,111.6584396,126.3141791,124.3809384,119.7753962,121.6806002,121.0373511,..
Aruba,ABW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Net migration,SM.POP.NETM,..,-441,..,..,..,..,1253,..,..,1004,..,..,..,..
Aruba,ABW,"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT,71864171.2511287,73072625.698324,75642458.1005586,72960893.8547486,64916201.1173185,63910614.5251396,67821229.0502793,74978013.4078212,98052501.9895973,108045520.369781,111650956.926434,112627597.550605,101762567.219897,..
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,220316139.723839,-471005586.592179,18882681.5642458,-10614525.1396648,186759776.536313,488156424.581006,-314692737.430168,-28775856.424581,27551267.6251579,162463551.517038,135921173.407329,-75226540.6843182,164087639.734177,..
Aruba,ABW,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Population, total",SP.POP.TOTL,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8642699,8736668,8797566,8840521,8879920,8916864,8956279
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.494797775098466,0.324146535285463,0.313041437661508,0.261953189906348,0.240394299500766,0.337080841831645,0.45593747231891,1.12099250236958,1.08139629872802,0.694621103604983,0.487071924768999,0.444673639004876,0.415176731565556,0.441053528127571
Austria,AUT,Surface area (sq. km),AG.SRF.TOTL.K2,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,83879,..,..,..
Austria,AUT,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,12,15.2,14.5,14.7,14.5,14.4,14.4,14.1,14.4,14.3,13.3,13.9,..,..
Austria,AUT,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,343188249990.473,369508190219.157,409461060049.599,410113006802.649,416108386933.487,425422859335.475,422312490253.451,410366692305.129,403990836645.997,396282377604.403,433288672902.113,452976858247.733,431177954655.481,467571324963.73
Austria,AUT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,41500,44540,49210,49150,49750,50700,50100,47480,46240,45040,49010,51010,48360,52210
Austria,AUT,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,312142451838.553,326766369608.111,346680570770.484,341245254707.958,354280862988.162,374289188740.567,392030460346.489,426732539405.343,460248078658.205,472121614071.579,498627781704.541,513848884230.027,495985448757.136,522766228284.597
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,37750,39390,41660,40900,42360,44600,46500,49370,52680,53670,56400,57870,55620,58370
Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,8.6,8,8,7.7,8,7.8,7.8,7.9,7.7,8,7.9,7.9,..,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.190243902439,81.6414634146342,81.6439024390244,81.6926829268293,81.8951219512195,81.1926829268293,..
Austria,AUT,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.41,1.38,1.42,1.39,1.44,1.43,1.44,1.49,1.53,1.52,1.47,1.46,1.44,..
Austria,AUT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,11.5708,11.127,10.5944,10.0618,9.5292,8.9966,8.464,7.7896,7.5648,7.34,7.0444,6.7488,6.4532,..
Austria,AUT,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,69.6,..,..,81,71,..,..,..,79,..,..
Austria,AUT,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.6,98.5,98.6,98.6,98.5,98.6,98.5,98.5,98.4,98.4,98.4,..,..,..
Austria,AUT,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,4.7,4.6,4.5,4.5,4.3,4.2,4,3.7,3.6,3.6,3.6,3.6,3.6,..
Austria,AUT,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,80,79,83,76,80,84,88,96,95,96,94,94,94,..
Austria,AUT,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,..,..,..,..,96.7720184326172,96.693717956543,100.37378692627,99.6567230224609,99.4531784057617,99.8130035400391,99.4085006713867,..,..
Austria,AUT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,100.329963684082,99.708869934082,99.4207305908203,99.6498489379883,98.8072128295898,98.0614700317383,97.8433227539063,100.320999145508,100.963020324707,100.455207824707,99.9578399658203,100.193702697754,..,..
Austria,AUT,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.969860017299652,0.968810021877289,0.96560001373291,0.965240001678467,0.968720018863678,0.970080018043518,0.971570014953613,0.97282999753952,0.971989989280701,0.97172999382019,0.974089980125427,0.980939984321594,..,..
Austria,AUT,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Forest area (sq. km),AG.LND.FRST.K2,38531.76,38556.82,38581.88,38606.94,38632,38667.98,38703.96,38811.9,38847.9,38883.8,38919.7,38955.6,38991.5,..
Austria,AUT,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,..,103.428032896631,..,..,..,..,107.565644380759,..,..,114.257279824519,..,..,..,..
Austria,AUT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4078.81222561241,4019.59016993216,4032.14842619644,3798.15116830548,4051.19602018508,3921.90051459529,3886.76773201774,3800.29942035468,..,..,..,..,..,..
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.96156919548461,8.58780176061628,8.49967401978365,7.72114398171392,8.36501490116616,8.13547438124649,7.72361448670012,7.31715887345687,7.28881998322196,7.4861615826868,7.13306391934265,7.2939842524557,..,..
Austria,AUT,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,8244.40195190479,8207.47473897554,8233.01483290985,7944.79609623168,8382.71115445338,8425.16775320399,8548.88219928111,..,..,..,..,..,..,..
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,336280064332.411,389185571506.052,432051935642.945,401758735822.211,392275107258.667,431685217367.511,409401816050.531,381971148530.543,395837353031.499,417261151844.977,455168151938.941,445011872704.47,433258467676.515,477082467454.295
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.45404183614122,3.72741530093519,1.4604236757386,-3.76457817791677,1.83709367680054,2.92279728368581,0.680445576816723,1.01450158590511,1.98943716230463,2.25857243250671,2.50159511872086,1.49121084953705,-6.73451407608768,4.48396920576444
Austria,AUT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.89216106882701,2.22117586707647,1.95632228093217,1.88926417785875,0.873054962177932,1.83341024455663,2.05423568508493,2.30097866680524,1.84829469843848,1.0055341594591,1.80193050754474,1.62258940533843,2.31234459193537,1.77661734368422
Austria,AUT,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,1.30318945861739,1.41639156023265,1.34222302680426,1.14681776764538,1.26732767225745,1.40191493427276,1.3485513899381,1.1297901935645,1.11031647926172,1.21053643138638,1.13015550798024,1.07158272416678,1.09990874209402,1.0958537540791
Austria,AUT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,27.2593708304078,27.5726388212438,26.9602141407645,25.7928458296062,25.5349942466396,25.4474320432043,25.6339685320435,25.174913250307,25.476804975952,25.4118677707583,25.3661221623617,25.0971690527944,25.4578528514247,25.7181618394784
